epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8157,3.22002,5.20026,4.22036,0.00019,0.10256,0.00013,3e-05,3.25061,5.51254,4.15729,0.00012861,0.00012861,0.00012861
2,83.3617,3.36654,5.09483,4.18332,0.00028,0.15385,0.00022,5e-05,3.24597,5.51442,4.15244,0.000270614,0.000270614,0.000270614
3,111.955,3.27312,4.98618,4.1607,0.00015,0.07143,9e-05,1e-05,3.23796,5.4983,4.14294,0.000411675,0.000411675,0.000411675
4,143.451,3.31376,5.01718,4.11553,0.0001,0.04762,6e-05,1e-05,3.22084,5.42439,4.12369,0.000551793,0.000551793,0.000551793
5,160.333,3.17164,4.69041,4.04895,0,0,0,0,3.19194,5.22832,4.09207,0.000690967,0.000690967,0.000690967
6,178.424,3.23239,4.65583,3.94005,0.00012,0.04762,7e-05,2e-05,3.18611,5.24733,4.06871,0.000829199,0.000829199,0.000829199
7,199.716,3.30817,4.78866,3.84316,0.00013,0.02381,8e-05,3e-05,3.15176,5.51551,3.99946,0.000966487,0.000966487,0.000966487
8,214.758,3.24241,4.67914,3.7774,0.00032,0.2033,0.00084,0.00019,3.38893,5.62372,4.36897,0.00110283,0.00110283,0.00110283
9,237.886,3.26941,4.53932,3.66094,0.00023,0.10073,0.0005,0.00013,3.33023,5.18987,4.29178,0.00123823,0.00123823,0.00123823
10,262.026,3.19463,4.40397,3.61159,0.00205,0.17033,0.00845,0.00383,2.91575,5.00279,3.47743,0.00137269,0.00137269,0.00137269
11,283.633,3.06364,4.33694,3.4784,0.00074,0.07509,0.00302,0.00065,2.95035,5.12954,3.51418,0.00138184,0.00138184,0.00138184
12,307.452,3.0692,4.36628,3.41698,0.0007,0.04945,0.00105,0.00044,2.87415,9.0836,3.82204,0.00137713,0.00137713,0.00137713
13,332.153,3.04667,4.29461,3.3365,0.00283,0.19963,0.00354,0.00075,2.73541,7.59576,4.06774,0.00137241,0.00137241,0.00137241
14,361.558,2.81372,4.25765,3.26295,0.00026,0.02564,0.00014,3e-05,3.11048,5.86692,8.1028,0.0013677,0.0013677,0.0013677
15,389.63,2.92255,4.18147,3.26566,0.00096,0.07509,0.00056,6e-05,2.95282,5.01826,4.6572,0.00136298,0.00136298,0.00136298
16,416.013,2.79568,3.99506,3.2484,0.0008,0.04945,0.0005,5e-05,3.01935,7.58108,5.59825,0.00135826,0.00135826,0.00135826
17,441.726,2.79253,4.04186,3.20903,0.00141,0.0989,0.00124,0.00019,2.90713,33.7662,6.04551,0.00135355,0.00135355,0.00135355
18,466.536,2.76678,4.03741,3.14501,0.00177,0.12271,0.00184,0.00079,2.80253,10.798,3.97713,0.00134883,0.00134883,0.00134883
19,501.591,2.64074,3.95641,3.0973,0.00257,0.15201,0.00587,0.0014,2.75349,4.755,3.9269,0.00134412,0.00134412,0.00134412
20,534.86,2.72644,4.10879,3.13829,0.00358,0.0989,0.00597,0.00254,2.90788,11.9617,5.80077,0.0013394,0.0013394,0.0013394
21,564.823,2.78788,4.02573,3.10584,0.00251,0.10073,0.0111,0.0023,2.75854,7.38783,3.9376,0.00133469,0.00133469,0.00133469
22,593.86,2.70768,4.00493,3.04609,0.00243,0.15018,0.00263,0.00089,2.55253,4.41742,2.82564,0.00132997,0.00132997,0.00132997
23,626.525,2.61796,3.81706,2.97081,0.00255,0.12454,0.01485,0.00217,2.59854,4.50518,2.98321,0.00132525,0.00132525,0.00132525
24,658.348,2.61581,3.84969,2.96274,0.00299,0.12637,0.00478,0.00151,2.54219,4.4799,2.80734,0.00132054,0.00132054,0.00132054
25,692.587,2.54938,3.71165,2.9491,0.00301,0.17582,0.00957,0.00303,2.21111,4.08953,2.75226,0.00131582,0.00131582,0.00131582
26,730.132,2.63791,3.74064,2.9622,0.00257,0.15018,0.01433,0.00559,2.25394,4.03789,2.78065,0.00131111,0.00131111,0.00131111
27,766.767,2.54274,3.55141,2.86689,0.00226,0.15018,0.00349,0.00146,2.19882,4.04697,2.69086,0.00130639,0.00130639,0.00130639
28,799.286,2.46072,3.58886,2.82332,0.02132,0.04945,0.01009,0.00483,2.36038,4.1544,2.83021,0.00130168,0.00130168,0.00130168
29,830.068,2.53794,3.56039,2.8708,0.01075,0.12454,0.01466,0.00564,2.45347,4.12833,3.00588,0.00129696,0.00129696,0.00129696
30,865.113,2.50971,3.58045,2.89636,0.01056,0.07509,0.0095,0.00466,2.29335,4.45879,2.78865,0.00129224,0.00129224,0.00129224
31,899.166,2.49344,3.58886,2.824,0.01818,0.04945,0.01033,0.00375,2.39661,7.29355,2.88749,0.00128753,0.00128753,0.00128753
32,929.636,2.46534,3.5638,2.8423,0.02121,0.10073,0.02137,0.00528,2.13089,3.6003,2.63201,0.00128281,0.00128281,0.00128281
33,961.938,2.44111,3.426,2.77033,0.03135,0.04762,0.01181,0.00623,2.1945,4.31174,2.68741,0.0012781,0.0012781,0.0012781
34,995.323,2.42052,3.46908,2.78148,0.00986,0.10073,0.00628,0.00314,2.15731,4.23349,2.66836,0.00127338,0.00127338,0.00127338
35,1026.82,2.47538,3.4322,2.8241,0.06773,0.04945,0.02936,0.01911,2.24454,4.9317,2.73368,0.00126867,0.00126867,0.00126867
36,1059.91,2.34326,3.36918,2.76212,0.45404,0.04945,0.04717,0.02294,2.09848,4.08283,2.58641,0.00126395,0.00126395,0.00126395
37,1094.61,2.36594,3.29156,2.75579,0.08545,0.04945,0.02173,0.00952,2.06453,4.33261,2.56278,0.00125923,0.00125923,0.00125923
38,1128.44,2.28625,3.31423,2.73153,0.10502,0.04945,0.03322,0.01802,2.048,4.14466,2.57459,0.00125452,0.00125452,0.00125452
39,1160.98,2.34138,3.31451,2.79042,0.13033,0.04945,0.05939,0.01721,2.01406,3.46161,2.59764,0.0012498,0.0012498,0.0012498
40,1196.46,2.35745,3.25788,2.76268,0.157,0.06721,0.04892,0.01899,2.03242,3.43158,2.56305,0.00124509,0.00124509,0.00124509
41,1231.71,2.35981,3.27445,2.78843,0.40614,0.05128,0.06305,0.01486,2.17493,3.56343,2.66416,0.00124037,0.00124037,0.00124037
42,1270.59,2.19432,3.11826,2.62899,0.17222,0.07509,0.05383,0.02663,2.14988,4.14433,2.68,0.00123566,0.00123566,0.00123566
43,1306.64,2.23438,3.16597,2.6276,0.04367,0.03879,0.0242,0.0112,2.07708,3.61069,2.57755,0.00123094,0.00123094,0.00123094
44,1345.38,2.23559,3.16203,2.62376,0.00246,0.07509,0.01154,0.00587,1.93549,3.57753,2.51327,0.00122622,0.00122622,0.00122622
45,1387,2.10538,3.12646,2.54867,0.41435,0.02381,0.01586,0.00919,2.09631,3.60581,2.6752,0.00122151,0.00122151,0.00122151
46,1423.53,2.2302,3.11919,2.60997,0.5212,0.04945,0.05403,0.02808,1.9924,2.96489,2.46218,0.00121679,0.00121679,0.00121679
47,1463.63,2.19263,3.03828,2.63383,0.21088,0.0989,0.08546,0.03628,1.93531,3.40686,2.45044,0.00121208,0.00121208,0.00121208
48,1509.21,2.28299,3.01732,2.68781,0.24704,0.07509,0.04822,0.02316,2.01194,3.42666,2.50937,0.00120736,0.00120736,0.00120736
49,1553.88,2.15555,2.92671,2.59067,0.40697,0.07692,0.06315,0.03101,2.04033,3.09147,2.48823,0.00120265,0.00120265,0.00120265
50,1599.63,2.17375,2.98184,2.62872,0.46856,0.07692,0.08466,0.04756,1.9548,2.73467,2.4659,0.00119793,0.00119793,0.00119793
51,1646.88,2.08777,2.82449,2.55742,0.76401,0.05128,0.05858,0.03707,1.87636,3.12296,2.52125,0.00119322,0.00119322,0.00119322
52,1688.19,2.16971,2.91911,2.58043,0.26611,0.07509,0.08255,0.04741,1.98581,3.29796,2.51047,0.0011885,0.0011885,0.0011885
53,1731.46,2.05027,2.73332,2.48509,0.25039,0.07509,0.06951,0.04234,2.00171,3.1823,2.52689,0.00118378,0.00118378,0.00118378
54,1775.55,2.08176,2.7412,2.5046,0.15906,0.05966,0.05441,0.03438,1.85734,3.04407,2.4229,0.00117907,0.00117907,0.00117907
55,1820.86,2.11609,2.77751,2.54792,0.23453,0.07509,0.06235,0.04116,1.97382,3.17305,2.52763,0.00117435,0.00117435,0.00117435
56,1869.21,2.03461,2.80339,2.50097,0.37383,0.07509,0.07605,0.04552,1.91494,2.57656,2.44109,0.00116964,0.00116964,0.00116964
57,1918.04,2.10911,2.76507,2.59313,0.49078,0.07509,0.08251,0.04121,1.84842,2.77977,2.3924,0.00116492,0.00116492,0.00116492
58,1964.81,1.9362,2.61057,2.41457,0.26625,0.07509,0.07561,0.03832,1.7503,2.63484,2.27155,0.00116021,0.00116021,0.00116021
59,2009.94,2.01204,2.57055,2.41976,0.32421,0.07509,0.07178,0.02992,1.82554,2.69599,2.31995,0.00115549,0.00115549,0.00115549
60,2059.19,2.01186,2.65358,2.4443,0.44282,0.05128,0.06505,0.03574,1.93548,2.60167,2.41473,0.00115077,0.00115077,0.00115077
61,2110.32,1.92602,2.63201,2.4178,0.36874,0.10073,0.09869,0.05016,1.96209,2.47836,2.44689,0.00114606,0.00114606,0.00114606
62,2164.26,2.05678,2.70911,2.49996,0.3145,0.05574,0.07762,0.04543,1.88955,2.66788,2.35087,0.00114134,0.00114134,0.00114134
63,2213.43,2.03194,2.65963,2.41722,0.24423,0.07509,0.08651,0.04253,1.81835,2.58721,2.29168,0.00113663,0.00113663,0.00113663
64,2259.43,2.12403,2.66715,2.43475,0.59672,0.07149,0.05688,0.03606,1.85691,4.46932,2.41077,0.00113191,0.00113191,0.00113191
65,2321.06,2.06396,2.63051,2.41684,0.16702,0.07509,0.0689,0.04044,1.89419,2.93917,2.3971,0.0011272,0.0011272,0.0011272
66,2366.63,2.06107,2.59918,2.51098,0.27403,0.10073,0.07627,0.04417,1.91732,2.70813,2.39656,0.00112248,0.00112248,0.00112248
67,2423.8,1.9363,2.47476,2.38381,0.69244,0.10073,0.09363,0.05038,1.81525,3.12081,2.35648,0.00111776,0.00111776,0.00111776
68,2478.69,2.01122,2.54409,2.46118,0.53756,0.10073,0.08723,0.03409,1.77604,2.41221,2.30935,0.00111305,0.00111305,0.00111305
69,2528.1,1.9302,2.41913,2.34435,0.47641,0.08716,0.10212,0.04845,1.75842,2.58753,2.37242,0.00110833,0.00110833,0.00110833
70,2583.35,1.89473,2.39685,2.33008,0.41181,0.0989,0.09336,0.04674,1.86897,2.63567,2.38699,0.00110362,0.00110362,0.00110362
71,2629.81,1.94325,2.38428,2.34854,0.27803,0.10073,0.09544,0.05668,1.79138,2.60228,2.29109,0.0010989,0.0010989,0.0010989
72,2681.65,1.96975,2.5025,2.38162,0.30623,0.07509,0.08322,0.03872,1.85132,2.64587,2.34635,0.00109419,0.00109419,0.00109419
73,2730.67,1.87681,2.52858,2.31011,0.3773,0.09873,0.10399,0.0586,1.87312,2.67208,2.36297,0.00108947,0.00108947,0.00108947
74,2781.17,1.91171,2.42697,2.31471,0.31514,0.07509,0.07689,0.04127,1.73672,2.3113,2.23002,0.00108475,0.00108475,0.00108475
75,2831.01,1.85447,2.29103,2.30148,0.38908,0.09424,0.10155,0.05853,1.72191,2.43165,2.28806,0.00108004,0.00108004,0.00108004
76,2888.39,1.91941,2.39873,2.314,0.26537,0.06743,0.08673,0.04295,1.78083,2.38765,2.30977,0.00107532,0.00107532,0.00107532
77,2951.5,1.96328,2.39048,2.37541,0.22662,0.04945,0.0752,0.04485,1.75971,2.36707,2.31979,0.00107061,0.00107061,0.00107061
78,3012.19,1.88638,2.34176,2.31613,0.46141,0.09262,0.07756,0.05452,1.77502,2.52508,2.30374,0.00106589,0.00106589,0.00106589
79,3066.44,1.80771,2.35941,2.24354,0.46596,0.07509,0.07936,0.05141,1.8111,2.53516,2.31877,0.00106118,0.00106118,0.00106118
80,3119.08,1.823,2.34963,2.3543,0.39353,0.07509,0.07499,0.04504,1.71947,2.49815,2.30103,0.00105646,0.00105646,0.00105646
81,3174.78,1.77245,2.35812,2.24121,0.3951,0.07509,0.07491,0.04495,1.79072,2.87055,2.39346,0.00105174,0.00105174,0.00105174
82,3284.02,1.73792,2.32126,2.21458,0.31971,0.07326,0.07499,0.04071,1.78088,2.62472,2.35488,0.00104703,0.00104703,0.00104703
83,3332.93,1.79515,2.33478,2.18929,0.34304,0.0989,0.09327,0.05792,1.76603,2.48341,2.28484,0.00104231,0.00104231,0.00104231
84,3392.67,1.81483,2.26483,2.28865,0.27183,0.0989,0.10544,0.06444,1.78455,2.09713,2.31968,0.0010376,0.0010376,0.0010376
85,3444.9,1.77788,2.3827,2.26817,0.1527,0.08366,0.05198,0.02908,1.75254,2.39286,2.30974,0.00103288,0.00103288,0.00103288
86,3502.29,1.8237,2.23462,2.26196,0.31464,0.12036,0.11106,0.05602,1.82271,2.36914,2.34829,0.00102817,0.00102817,0.00102817
87,3566.15,1.79285,2.1936,2.23046,0.30758,0.12425,0.09841,0.05791,1.78262,2.0903,2.30194,0.00102345,0.00102345,0.00102345
88,3615.93,1.71996,2.24632,2.2064,0.43703,0.12454,0.13057,0.07859,1.61333,1.9497,2.234,0.00101873,0.00101873,0.00101873
89,3676.85,1.76436,2.18986,2.16493,0.49733,0.12454,0.12999,0.07928,1.64401,2.19843,2.27294,0.00101402,0.00101402,0.00101402
90,3736.16,1.83284,2.31296,2.28357,0.6993,0.0989,0.1205,0.06585,1.68685,2.09287,2.25353,0.0010093,0.0010093,0.0010093
91,3791.13,1.73824,2.17189,2.17978,0.27056,0.07509,0.08486,0.05105,1.68942,2.23985,2.30733,0.00100459,0.00100459,0.00100459
92,3845.64,1.74189,2.16385,2.16053,0.21738,0.10073,0.10548,0.05378,1.74983,2.37986,2.32936,0.000999871,0.000999871,0.000999871
93,3895.19,1.7158,2.10409,2.13049,0.533,0.02381,0.07105,0.03975,1.83237,2.441,2.37735,0.000995156,0.000995156,0.000995156
94,3957.41,1.70409,2.16213,2.13412,0.41085,0.04945,0.06331,0.03645,1.87074,2.69692,2.44316,0.00099044,0.00099044,0.00099044
95,4038.61,1.72779,2.02218,2.19359,0.31396,0.04945,0.08191,0.0596,1.73446,2.35191,2.32944,0.000985724,0.000985724,0.000985724
96,4105.92,1.66032,2.0618,2.12902,0.44222,0.0989,0.11306,0.08491,1.70299,2.00879,2.24122,0.000981008,0.000981008,0.000981008
97,4175.97,1.77357,2.07972,2.1895,0.43667,0.10073,0.10925,0.0586,1.78558,2.06932,2.28166,0.000976293,0.000976293,0.000976293
98,4235.52,1.73445,2.09215,2.13482,0.37825,0.10073,0.0984,0.0662,1.69696,2.15562,2.19857,0.000971577,0.000971577,0.000971577
99,4297.14,1.78187,2.18716,2.20025,0.47818,0.07509,0.0914,0.05411,1.69598,2.15261,2.2412,0.000966861,0.000966861,0.000966861
100,4354.96,1.73762,2.11944,2.13978,0.42591,0.12454,0.13223,0.08083,1.62974,1.99055,2.22185,0.000962146,0.000962146,0.000962146
101,4420.93,1.80379,2.16213,2.17456,0.56016,0.0989,0.11863,0.08852,1.62449,1.87708,2.13162,0.00095743,0.00095743,0.00095743
102,4484.89,1.70407,2.051,2.08552,0.38272,0.10073,0.12879,0.07334,1.52691,1.8799,2.07584,0.000952714,0.000952714,0.000952714
103,4543.34,1.66788,2.05882,2.0772,0.29114,0.12454,0.10476,0.07092,1.561,1.85763,2.08918,0.000947999,0.000947999,0.000947999
104,4629.26,1.72474,2.14257,2.10473,0.31112,0.10507,0.09988,0.06325,1.61758,1.98127,2.14517,0.000943283,0.000943283,0.000943283
105,4698.75,1.64228,1.96539,2.0909,0.3457,0.09708,0.10098,0.06016,1.59635,1.98163,2.1186,0.000938567,0.000938567,0.000938567
106,4754.99,1.70324,2.08731,2.11718,0.29576,0.11498,0.11158,0.07087,1.65525,1.94359,2.08931,0.000933851,0.000933851,0.000933851
